Ref,Val,Package,PosX,PosY,Rot,Side
"SW2","Choc","Kailh_socket_PG1350",-21.249990,-63.749970,180.000000,bottom
"SW3","Choc","Kailh_socket_PG1350",-38.249982,-63.749970,180.000000,bottom
"SW4","Choc","Kailh_socket_PG1350",-55.249974,-63.749970,180.000000,bottom
"SW5","Choc","Kailh_socket_PG1350",-72.249966,-63.749970,0.000000,bottom
"SW7","Choc","Kailh_socket_PG1350",-21.249990,-80.749962,180.000000,bottom
"SW8","Choc","Kailh_socket_PG1350",-38.249982,-80.749962,0.000000,bottom
"SW9","Choc","Kailh_socket_PG1350",-55.249974,-80.749962,0.000000,bottom
"SW10","Choc","Kailh_socket_PG1350",-72.249966,-80.749962,0.000000,bottom
